,2022,2021,2020,2019,2018,2017,2016,2015,2014
GRUPAAZOTY,23.132886753925927,-6.249741774662241,-6.093917721764546,-55.20110776201077,11.05800938779844,-37.01508113009692,57.18808677081162,1.279896511455347,6199.72
TAURONPE,-2.498092419147902,65.97568697854692,-25.114119559779894,-28.196839080459768,7.017540347203159,-1.0415387114797043,-42.97029389731729,15.560595614887243,7658.64
BENEFIT,-22.70697312166507,-4.269680745587938,4.502540553533975,-22.901229242355978,74.47080139372824,59.56784357681049,41.93560606060608,1.132634428511231,783.13
JSW,34.37375895602971,21.37507668528358,-68.21288827544288,-30.134006180545164,43.9012125008275,528.1711091384564,-36.41795142984989,-68.47363291269107,6238.08
DOMDEV,6.014470068524117,21.228605042442044,50.76000788297594,-26.019517930629043,43.71214988644966,8.614930588693035,28.03793660939203,-15.726269595456305,1262.41
CIECH,30.434782608695652,-18.89168765743073,-10.383747178329573,-22.956267490363793,-1.389227870468903,-32.19767926763882,101.83074004471084,37.23026528878649,1636.33
WIRTUALNA,52.21472496807106,33.78270939195962,32.45445923406483,9.244147826335489,-8.950854228201887,36.350007540207045,1127.29,,
ECHO,0.6189759307130781,-13.490585128186503,43.69314962273717,-28.571580730026522,-12.500058248174494,-24.637849113454642,-1.988407552988634,5.074447655179146,2765.03
CLNPHARMA,-7.34895191122071,2.141057934508816,27.04,-12.70949720670391,46.062831497348014,1102.95,,,
NEUCA,30.341181619256012,65.63059954652734,55.60016963375352,-11.75983502790672,-26.974667279101816,7.413814639020736,59.10491066992588,-21.198643812983995,1277.11
FAMUR,48.88882015434342,-24.49628967941195,-44.81493175930818,-10.517712114353932,67.76444981862154,163.42613238198382,-51.91724509737853,-36.037539920452986,2551.95
PULAWY,-8.158798100081091,-3.8115960728654716,31.953225968719273,-56.80528163128865,-13.007191483050724,-29.451021986611494,82.79605781274611,-19.827661372034367,3326.01
GPW,-9.365420307384307,16.284934828735974,7.230850240854988,-22.004705261983712,17.68082389584352,11.071052230447544,-21.334952974787804,10.12033252193083,1741.84
PLAYWAY,-33.965244865718795,164.85355648535563,77.03703703703705,107.72620241064975,30.89505325154872,327.69,,,
COMARCH,-7.455402859779768,4.010677607269189,23.02652333228179,-20.00012942135711,9.195873374788006,52.564116385118744,-1.1614154351045782,20.166195055120934,781.01
NETIA,37.153642750717,14.47959224950447,-11.59968770300795,-10.525894799709903,17.024343669460265,-14.78308498984291,-3.185349554401152,5.936219995745814,1833.49
ATAL,41.84641795552447,-14.474292395116782,35.71461517882677,-34.42602125690365,49.24883985482386,32.51420709457437,835.85,,
TSGAMES,-36.36025362798398,179.28398557648717,146.35223367697594,582.0,,,,,
ASSECOSEE,20.0,73.38653281325271,115.65400985287711,-11.53965877592162,40.8472170027976,-5.816422840962715,18.072065378900437,-10.561069811869254,481.58
PEP,35.793572170975715,101.48720172116192,31.219742590624634,68.7235121527149,13.550642673521848,-61.510452534175556,-7.333621846828676,128.4404899545904,596.79
BOGDANKA,66.666156249043,-44.906653618701334,-32.066594074158985,-23.432693700058355,-3.5969610057784966,109.2741614214007,-65.5712522287752,-23.32276210530252,4278.91
DEBICA,-5.128133678862349,-5.340484459489165,-3.7384047667411533,-18.475943392971732,8.414871334530222,0.051642454588323915,8.764774836377834,-15.076769925269433,1446.53
DEVELIA,50.76160555297212,-22.441062631949322,1136.8,,,,,,
MENNICA,8.807765180299308,-12.272452535020971,10.000391098595953,-9.050003112411407,23.059498145128643,15.584366304072846,10.001113089937666,-8.048565177897466,781.63
LIVECHAT,11.238095238095235,142.49313889038368,70.81009865800601,-36.46671792725539,-19.71823282126615,27.43639531989046,39.335960263062965,720.74,
AMICA,-23.02415433542724,7.153519024417725,19.33788931212189,-8.780607447982664,-32.48373363876603,7.126173405277541,59.63421828908555,-2.6790533169505,870.83
MABION,246.59880659880662,-73.03360151443445,-11.08548921916817,-10.729955523500415,51.9608178922492,67.13606960902167,22.879786161457485,28.26766917293233,332.5
